  I  J
------
30   3
60   3
 9   4
10   4
15   4
21   4
55   5
8    7
13   7
29   7
31   7
52   7
55   7
18   8
31   8
40   8
53   8
63   8
27   9
32   9
52   9
53   9
 4  10
 5  10
21  10
25  10
53  10
54  10
 5  11
 6  11
27  11
33  11
52  11
53  11
55  11
 4  12
25  12
43  12
53  12
56  12
 3  13
 6  13
24  13
32  13
53  13
55  13
56  13
14  14
37  14
55  14
63  14
12  15
54  15
59  15
19  16
21  16
56  16
 1  17
19  17
21  17
51  17
52  17
 7  18
15  18
17  18
27  18
53  18
 1  19
 8  19
14  19
15  19
19  19
20  19
22  19
31  19
33  19
47  19
50  19
52  19
62  19
64  19
 7  20
 9  20
11  20
13  20
15  20
16  20
17  20
19  20
20  20
22  20
25  20
29  20
37  20
47  20
63  20
 1  21
 2  21
 3  21
 7  21
 9  21
13  21
14  21
15  21
17  21
18  21
19  21
21  21
22  21
24  21
26  21
33  21
46  21
47  21
51  21
62  21
63  21
 8  22
14  22
17  22
18  22
19  22
21  22
23  22
24  22
44  22
45  22
47  22
48  22
50  22
51  22
53  22
61  22
64  22
 1  23
 2  23
 5  23
 7  23
 9  23
10  23
11  23
13  23
15  23
16  23
17  23
19  23
20  23
21  23
22  23
23  23
25  23
26  23
43  23
45  23
46  23
47  23
49  23
50  23
51  23
63  23
 1  24
 2  24
 3  24
 5  24
 6  24
 7  24
 9  24
10  24
11  24
13  24
14  24
16  24
19  24
20  24
21  24
22  24
23  24
24  24
26  24
33  24
43  24
45  24
46  24
47  24
49  24
50  24
51  24
52  24
63  24
 1  25
 3  25
 4  25
 5  25
 7  25
 8  25
 9  25
10  25
12  25
13  25
15  25
17  25
19  25
21  25
22  25
23  25
25  25
26  25
42  25
43  25
44  25
45  25
47  25
48  25
50  25
51  25
52  25
53  25
54  25
62  25
63  25
64  25
 1  26
 2  26
 3  26
 4  26
 5  26
 7  26
 9  26
11  26
13  26
17  26
19  26
22  26
25  26
29  26
41  26
43  26
45  26
47  26
50  26
53  26
63  26
64  26
 1  27
 3  27
 5  27
 6  27
 7  27
 9  27
11  27
12  27
13  27
15  27
16  27
18  27
19  27
21  27
22  27
23  27
25  27
27  27
30  27
32  27
35  27
36  27
39  27
41  27
42  27
44  27
46  27
48  27
51  27
53  27
57  27
62  27
64  27
 3  28
 4  28
 6  28
 8  28
10  28
12  28
15  28
17  28
21  28
23  28
26  28
29  28
31  28
34  28
37  28
39  28
42  28
46  28
51  28
61  28
 5  29
 7  29
11  29
14  29
18  29
22  29
25  29
30  29
33  29
36  29
40  29
55  29
60  29
63  29
 1  30
10  30
13  30
16  30
19  30
20  30
27  30
48  30
53 31
61  30
